,Predicted 1,Predicted 2,Predicted 3,Predicted 4,Predicted 5,Predicted 6,Predicted 7,Predicted 8,Predicted 9,Predicted 10,Predicted 11,Predicted 12,Predicted 13,Predicted 14,Predicted 15,Predicted 16,Predicted 17,Predicted 18,Predicted 20,Predicted 24,Predicted 26,Predicted 28,Predicted 32,Predicted 36
Actual 1,881,23,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual 2,104,116,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Actual 3,24,4,23,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual 4,6,9,2,74,5,3,0,4,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Actual 5,0,0,0,11,10,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Actual 6,0,0,0,6,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Actual 7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Actual 8,0,0,0,6,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual 9,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Actual 10,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual 11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Actual 12,0,0,0,5,0,2,0,0,0,0,0,20,0,0,0,0,1,0,0,5,0,0,0,0
Actual 13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Actual 14,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,1,0,1,0,0,0,1,0,0
Actual 15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0
Actual 16,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,10,0,0,0,0,0,0,0,0
Actual 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0
Actual 18,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0
Actual 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Actual 24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
Actual 26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Actual 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual 32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Actual 36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy Score: ,0.454347829,,,,,,,,,,,,,,,,,,,,,,,
