Cuenta de Medal,Etiquetas de columna,,,,,,,,,
Etiquetas de fila,1976,1980,1984,1988,1992,1996,2000,2004,2008,Total general
Archery,6,6,6,24,24,24,24,24,24,162
individual (FITA Olympic round - 70m),,,,,6,6,6,6,6,30
individual FITA round,6,6,6,6,,,,,,24
team (FITA Olympic round - 70m),,,,,18,18,18,18,18,90
teams FITA round,,,,18,,,,,,18
Artistic G.,74,75,75,75,77,80,72,72,72,672
balance beam,3,3,3,4,3,3,3,3,3,28
floor exercises,6,7,7,7,8,6,6,6,6,59
horizontal bar,4,3,3,4,3,5,3,3,3,31
individual all-round,6,6,6,6,6,7,6,6,6,55
parallel bars,3,3,3,3,5,3,3,3,3,29
pommel horse,4,3,3,3,3,3,3,3,3,28
rings,3,3,3,3,4,3,3,3,3,28
team competition,36,36,36,36,36,41,36,36,36,329
uneven bars,3,5,3,3,3,3,3,3,3,29
vault,6,6,8,6,6,6,6,6,6,56
Athletics,147,150,161,163,178,180,184,183,177,1523
10000m,3,3,3,6,6,6,6,6,6,45
10000m walk,,,,,3,3,,,,6
100m,6,6,6,6,6,6,6,6,6,54
100m hurdles,3,3,4,3,3,3,3,3,3,28
110m hurdles,3,3,3,3,3,3,3,3,3,27
1500m,6,6,6,6,6,6,6,6,6,54
200m,6,6,6,6,6,6,6,6,6,54
20km race walk,,,,,,,3,3,3,9
20km walk,3,3,3,3,3,3,3,3,3,27
3000m,,,3,3,3,,,,,9
3000m steeplechase,3,3,3,3,3,3,3,3,6,30
400m,6,6,6,6,6,6,6,6,6,54
400m hurdles,3,3,6,6,6,6,6,6,6,48
4x100m relay,24,24,24,24,27,30,29,26,24,232
4x400m relay,24,24,24,24,32,30,28,31,24,241
5000m,3,3,3,3,3,6,6,6,6,39
50km walk,,3,3,3,3,3,3,3,3,24
800m,6,6,6,6,6,6,6,6,6,54
decathlon,3,3,3,3,3,3,3,3,3,27
discus throw,6,6,6,6,6,6,6,6,6,54
hammer throw,3,3,3,3,3,3,6,6,6,36
heptathlon,,,3,3,3,3,3,3,3,21
high jump,6,6,6,7,8,6,7,6,6,58
javelin throw,6,6,6,6,6,6,6,6,6,54
long jump,6,6,6,6,6,6,6,6,6,54
marathon,3,3,6,6,6,6,6,6,6,48
pentathlon,3,3,,,,,,,,6
pole vault,3,3,4,3,3,3,6,6,6,37
shot put,6,6,6,6,6,6,6,6,6,54
triple jump,3,3,3,3,3,6,6,6,6,39
Badminton,,,,,24,24,24,24,24,120
doubles,,,,,16,18,18,18,18,88
singles,,,,,8,6,6,6,6,32
Baseball,,,,,60,60,72,71,72,335
baseball,,,,,60,60,72,71,72,335
Basketball,72,72,72,72,72,72,72,70,72,646
basketball,72,72,72,72,72,72,72,70,72,646
Beach volley.,,,,,,12,12,12,12,48
beach volleyball,,,,,,12,12,12,12,48
BMX,,,,,,,,,6,6
individual,,,,,,,,,6,6
Boxing,44,44,48,48,48,48,48,44,44,416
- 48kg (light-flyweight),4,4,4,4,4,4,4,,,28
+ 81kg (heavyweight),4,4,,,,,,,,8
+ 91kg (super heavyweight),,,4,4,4,4,4,4,4,28
48 - 51kg (flyweight),4,4,4,4,4,4,4,4,4,36
48kg (light flywieght),,,,,,,,4,4,8
51 - 54kg (bantamweight),4,4,4,4,4,4,4,4,4,36
54 - 57kg (featherweight),4,4,4,4,4,4,4,4,4,36
57 - 60kg (lightweight),4,4,4,4,4,4,4,4,4,36
60 - 63.5kg (light-welterweight),4,4,4,4,4,4,4,,,28
60 - 64 kg,,,,,,,,4,4,8
63.5 - 67kg (welterweight),4,4,4,4,4,4,4,,,28
64 - 69 kg,,,,,,,,4,4,8
67 - 71kg (light-middleweight),4,4,4,4,4,4,4,,,28
