Year,Country_Code,Event,Medal
1976,AUS,1500m freestyle,1
1976,AUS,470 - Two Person Dinghy,2
1976,AUS,hockey,16
1976,AUS,single-handed dinghy (Finn),1
1976,AUS,team,4
1976,AUT,50m pistol (60 shots),1
1976,BEL,1500m,1
1976,BEL,1km time trial,1
1976,BEL,800m,1
1976,BEL,individual,1
1976,BEL,marathon,1
1976,BEL,team,4
1976,BER,+ 81kg (heavyweight),1
1976,BRA,flying dutchman,2
1976,BRA,triple jump,1
1976,BUL,+ 100kg (super heavyweight),1
1976,BUL,- 48kg (light-flyweight),2
1976,BUL,"- 56kg, total (bantamweight)",1
1976,BUL,"56 - 60kg, total (featherweight)",1
1976,BUL,60 - 63.5kg (light-welterweight),1
1976,BUL,"67.5 - 75kg, total (middleweight)",1
1976,BUL,74 - 82kg (middleweight),1
1976,BUL,"75 - 82.5kg, total (light-heavyweight)",1
1976,BUL,800m,1
1976,BUL,82 - 90kg (light-heavyweight),1
1976,BUL,"82.5 - 90kg, total (middle-heavyweight)",1
1976,BUL,90 - 100kg (heavyweight),2
1976,BUL,"91 - 110kg, total (heavyweight)",1
1976,BUL,basketball,12
1976,BUL,discus throw,1
1976,BUL,double sculls (2x),2
1976,BUL,four-oared shell with coxswain (4-),5
1976,BUL,high jump,1
1976,BUL,pair without coxswain (2-),2
1976,BUL,shot put,1
1976,CAN,100m backstroke,1
1976,CAN,200m backstroke,1
1976,CAN,400m freestyle,1
1976,CAN,400m individual medley,2
1976,CAN,4x100m freestyle relay,4
1976,CAN,4x100m medley relay,8
1976,CAN,C-1 500m (canoe single),1
1976,CAN,high jump,1
1976,CAN,individual,1
1976,CUB,+ 81kg (heavyweight),1
1976,CUB,- 48kg (light-flyweight),1
1976,CUB,- 63kg (lightweight),1
1976,CUB,110m hurdles,1
1976,CUB,400m,1
1976,CUB,48 - 51kg (flyweight),1
1976,CUB,54 - 57kg (featherweight),1
1976,CUB,60 - 63.5kg (light-welterweight),1
1976,CUB,67 - 71kg (light-middleweight),1
1976,CUB,71-75kg,1
1976,CUB,75 - 81kg (light-heavyweight),1
1976,CUB,800m,1
1976,CUB,volleyball,12
1976,DEN,1km time trial,1
1976,DEN,fleet/match race keelboat open (Soling),3
1976,DEN,team time trial,4
1976,ESP,470 - Two Person Dinghy,2
1976,ESP,K-4 1000m (kayak four),4
1976,FIN,10000m,1
1976,FIN,5000m,1
1976,FIN,52 - 57kg (bantamweight),1
1976,FIN,javelin throw,1
1976,FIN,pole vault,1
1976,FIN,single sculls (1x),1
1976,FRA,110m hurdles,1
1976,FRA,"60 - 67.5kg, total (lightweight)",1
1976,FRA,63 - 70kg (half-middleweight),1
1976,FRA,Sprint indivual,1
1976,FRA,foil individual,1
1976,FRA,foil team,10
1976,FRA,horizontal bar,1
1976,FRA,team,4
1976,FRG,+ 93kg (heavyweight),1
1976,FRG,100m,2
1976,FRG,100m freestyle,1
1976,FRG,1500m,1
1976,FRG,200m,1
1976,FRG,470 - Two Person Dinghy,2
1976,FRG,4x100m medley relay,4
1976,FRG,4x100m relay,4
1976,FRG,4x400m relay,4
1976,FRG,5000m,1
1976,FRG,50m rifle 3 positions (3x40 shots),1
1976,FRG,50m rifle prone (60 shots),2
1976,FRG,63.5 - 67kg (welterweight),1
1976,FRG,68 - 74kg (welterweight),1
1976,FRG,74 - 82kg (middleweight),1
1976,FRG,Individual Pursuit,1
1976,FRG,Team Pursuit (4000m),4
1976,FRG,Tornado - Multihull,2
1976,FRG,coxless pair (2-),2
1976,FRG,decathlon,1
1976,FRG,flying dutchman,2
1976,FRG,foil team,5
1976,FRG,four-oared shell with coxswain (4-),5
1976,FRG,horizontal bar,1
1976,FRG,individual,4
1976,FRG,javelin throw,1
1976,FRG,pair without coxswain (2-),2
1976,FRG,single sculls (1x),1
1976,FRG,team,11
1976,FRG,épée individual,2
1976,FRG,épée team,4
1976,GBR,10000m,1
1976,GBR,100m breaststroke,1
1976,GBR,200m breaststroke,1
1976,GBR,4x200m freestyle relay,4
1976,GBR,51 - 54kg (bantamweight),1
1976,GBR,80 - 93kg (half-heavyweight),1
1976,GBR,Team Pursuit (4000m),4
1976,GBR,Team competition,3
1976,GBR,Tornado - Multihull,2
1976,GBR,double sculls (2x),2
1976,GBR,eight with coxswain (8+),9
1976,GBR,flying dutchman,2
1976,GBR,open category,1
1976,GDR,"+ 110kg, total (super heavyweight)",2
1976,GDR,100m,1
1976,GDR,100m backstroke,3
1976,GDR,100m breaststroke,1
1976,GDR,100m butterfly,2
1976,GDR,100m freestyle,2
1976,GDR,100m hurdles,1
1976,GDR,1500m,2
1976,GDR,1km time trial,1
1976,GDR,200m,2
1976,GDR,200m backstroke,2
1976,GDR,200m butterfly,3
1976,GDR,200m freestyle,1
1976,GDR,20km walk,2
1976,GDR,25m rapid fire pistol (60 shots),2
1976,GDR,3000m steeplechase,1
1976,GDR,3m springboard,1
1976,GDR,400m,2
1976,GDR,400m freestyle,1
1976,GDR,400m individual medley,1
1976,GDR,4x100m freestyle relay,4
1976,GDR,4x100m medley relay,4
1976,GDR,4x100m relay,8
1976,GDR,4x400m relay,4
1976,GDR,50m pistol (60 shots),2
1976,GDR,52 - 57kg (bantamweight),1
1976,GDR,54 - 57kg (featherweight),1
1976,GDR,62 - 68kg (lightweight),1
1976,GDR,63.5 - 67kg (welterweight),1
1976,GDR,"67.5 - 75kg, total (middleweight)",1
1976,GDR,800m,1
1976,GDR,800m freestyle,1
1976,GDR,Individual Pursuit,1
1976,GDR,K-1 1000m (kayak single),1
1976,GDR,K-1 500m (kayak single),2
1976,GDR,K-2 1000m (kayak double),2
1976,GDR,K-2 500m (kayak double),4
1976,GDR,K-4 1000m (kayak four),4
1976,GDR,Sprint indivual,1
1976,GDR,coxless pair (2-),2
1976,GDR,discus throw,3
1976,GDR,double sculls (2x),4
1976,GDR,eight with coxswain (8+),18
1976,GDR,fleet/match race keelboat open (Soling),3
1976,GDR,football,17
1976,GDR,four without coxswain (4-),4
1976,GDR,four-oared shell with coxswain (4-),10
1976,GDR,handball,14
1976,GDR,high jump,1
1976,GDR,javelin throw,1
1976,GDR,long jump,2
1976,GDR,marathon,1
1976,GDR,pair without coxswain (2-),2
1976,GDR,pair-oared shell with coxswain (2+),3
1976,GDR,pentathlon,3
1976,GDR,pommel horse,1
1976,GDR,quadruple sculls with coxswain (4x),5
1976,GDR,quadruple sculls without coxswain (4x),4
1976,GDR,shot put,1
1976,GDR,single sculls (1x),2
1976,GDR,single-handed dinghy (Finn),1
1976,GDR,team competition,12
1976,GDR,vault,1
1976,HUN,+ 100kg (super heavyweight),1
1976,HUN,"- 52kg, total (flyweight)",1
1976,HUN,- 63kg (lightweight),1
1976,HUN,57 - 62kg (featherweight),1
1976,HUN,"75 - 82.5kg, total (light-heavyweight)",1
1976,HUN,C-1 1000m (canoe single),1
1976,HUN,C-2 1000m (canoe double),2
1976,HUN,C-2 500m (canoe double),2
1976,HUN,K-1 1000m (kayak single),1
1976,HUN,K-1 500m (kayak single),2
1976,HUN,K-2 1000m (kayak double),2
1976,HUN,K-2 500m (kayak double),2
1976,HUN,Team competition,3
1976,HUN,foil individual,1
1976,HUN,foil team,5
1976,HUN,handball,14
1976,HUN,javelin throw,1
1976,HUN,pommel horse,1
1976,HUN,uneven bars,1
1976,HUN,water polo,11
1976,HUN,épée individual,1
1976,IRI,"- 52kg, total (flyweight)",1
1976,IRI,68 - 74kg (welterweight),1
1976,ITA,- 63kg (lightweight),1
1976,ITA,10m platform,1
1976,ITA,25m rapid fire pistol (60 shots),1
1976,ITA,3m springboard,1
1976,ITA,foil individual,2
1976,ITA,foil team,5
1976,ITA,high jump,1
1976,ITA,individual FITA round,1
1976,ITA,individual road race,1
